,track_name,album,artist,release_year,track_data_concat,first_genre_assigned,energy,danceability,duration_ms,mode,spotify_url,artist_image,album_cover,position,period
10,melhor sozinha :-)-:,melhor sozinha :-)-:,Luísa Sonza,2021,"melhor sozinha :-)-:
Luísa Sonza
melhor sozinha :-)-:
2021",funk carioca,0.299,0.65,227216,0,https://open.spotify.com/track/0gpZ8zy9OAE98nNBVIxWvi,https://i.scdn.co/image/ab6761610000e5eb0868e40af63067661b9d9e2f,https://i.scdn.co/image/ab67616d0000b2733bf35d9543186a44cf6c5c7a,11,medium_term
11,Lembra,Digo Ou Não Digo,João Gomes,2022,"Lembra
João Gomes
Digo Ou Não Digo
2022",arrocha,0.873,0.569,154038,1,https://open.spotify.com/track/1R0OMRM1X2x4XrCAFt4KWG,https://i.scdn.co/image/ab6761610000e5eba049e2ddde0128bbdf16afc7,https://i.scdn.co/image/ab67616d0000b273413c4cf1815fa88b5643dac4,12,medium_term
12,Yellow,Parachutes,Coldplay,2000,"Yellow
Coldplay
Parachutes
2000",permanent wave,0.285,0.429,266773,1,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,13,medium_term
13,As It Was,Harry's House,Harry Styles,2022,"As It Was
Harry Styles
Harry's House
2022",pop,0.662,0.52,167303,0,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,14,medium_term
14,Um Dia Eu Te Levo Comigo,Live In London - At The Royal Albert Hall,Jorge & Mateus,2013,"Um Dia Eu Te Levo Comigo
Jorge & Mateus
Live In London - At The Royal Albert Hall
2013",arrocha,0.601,0.589,203480,1,https://open.spotify.com/track/2QggnWfD3RoavuaD5QlUJa,https://i.scdn.co/image/ab6761610000e5eb1df3e178779c6a9bf8303719,https://i.scdn.co/image/ab67616d0000b273f309fd627992941ef663eb7a,15,medium_term
15,Washing Machine Heart,Be the Cowboy,Mitski,2018,"Washing Machine Heart
Mitski
Be the Cowboy
2018",brooklyn indie,0.567,0.613,128199,1,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,16,medium_term
16,Dengo,Digo Ou Não Digo,João Gomes,2022,"Dengo
João Gomes
Digo Ou Não Digo
2022",arrocha,0.87,0.646,153958,1,https://open.spotify.com/track/6Ulh9GPYz6JKdv04qc3q2U,https://i.scdn.co/image/ab6761610000e5eba049e2ddde0128bbdf16afc7,https://i.scdn.co/image/ab67616d0000b273413c4cf1815fa88b5643dac4,17,medium_term
17,Music For a Sushi Restaurant,Harry's House,Harry Styles,2022,"Music For a Sushi Restaurant
Harry Styles
Harry's House
2022",pop,0.357,0.72,193813,1,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,18,medium_term
18,Yoko,Violeta,Terno Rei,2019,"Yoko
Terno Rei
Violeta
2019",brazilian rock,0.355,0.655,225000,1,https://open.spotify.com/track/6OUoBmIdoDK14RoE5nWlCC,https://i.scdn.co/image/ab6761610000e5eb5b50950f4987d00ae9a9215d,https://i.scdn.co/image/ab67616d0000b27342486337c11ac28cbd7e9ae3,19,medium_term
19,Daylight,Harry's House,Harry Styles,2022,"Daylight
Harry Styles
Harry's House
2022",pop,0.626,0.686,164533,1,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,20,medium_term
20,Desculpe Morena,Coco de Toré,Pandeiro do Mestre,2006,"Desculpe Morena
Pandeiro do Mestre
Coco de Toré
2006",capoeira,0.446,0.708,136093,1,https://open.spotify.com/track/64zntPvnR9gagYQL2KQj3m,https://i.scdn.co/image/ab67616d0000b2735641342e36494be0a0edeac2,https://i.scdn.co/image/ab67616d0000b2735641342e36494be0a0edeac2,21,medium_term
21,Um Sonhador / Não Precisa / Não Aprendi A Dizer Adeus - Ao Vivo,Raiz (Ao Vivo),Lauana Prado,2022,"Um Sonhador / Não Precisa / Não Aprendi A Dizer Adeus - Ao Vivo
Lauana Prado
Raiz (Ao Vivo)
2022",sertanejo,0.599,0.46,276096,1,https://open.spotify.com/track/42cdiwjkfYVjI8JtAQwsG5,https://i.scdn.co/image/ab6761610000e5eb9952674ecdb2f32781182faf,https://i.scdn.co/image/ab67616d0000b2731bbf55402ec03da1d721de82,22,medium_term
22,Cinema,Harry's House,Harry Styles,2022,"Cinema
Harry Styles
Harry's House
2022",pop,0.896,0.829,243508,0,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,23,medium_term
23,Little Freak,Harry's House,Harry Styles,2022,"Little Freak
Harry Styles
Harry's House
2022",pop,0.402,0.559,202183,1,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,24,medium_term
24,As It Was,As It Was,Harry Styles,2022,"As It Was
Harry Styles
As It Was
2022",pop,0.662,0.52,167303,0,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,25,medium_term
25,Grapejuice,Harry's House,Harry Styles,2022,"Grapejuice
Harry Styles
Harry's House
2022",pop,0.88,0.645,191959,1,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,26,medium_term
26,DESCOBRIDOR,MEMÓRIAS (de onde eu nunca fui),Lagum,2021,"DESCOBRIDOR
Lagum
MEMÓRIAS (de onde eu nunca fui)
2021",belo horizonte indie,0.572,0.617,188519,0,https://open.spotify.com/track/2pg5jMIT8VlxYnwWFff9UT,https://i.scdn.co/image/ab6761610000e5eb3e88d7bb247be86ce78edb77,https://i.scdn.co/image/ab67616d0000b27351686d809de14a6d5b270eec,27,medium_term
27,Lovezinho,Lovezinho,Rachel Reis,2022,"Lovezinho
Rachel Reis
Lovezinho
2022",musica baiana,0.672,0.673,159202,1,https://open.spotify.com/track/7iHXEw8MixfAK0PGTcihAN,https://i.scdn.co/image/ab6761610000e5eb2b133c6aa2548dd13d5031e7,https://i.scdn.co/image/ab67616d0000b273733d3938423590063cd7c01a,28,medium_term
28,you,Sad Romance,CKay,2022,"you
CKay
Sad Romance
2022",afro r&b,0.235,0.701,175504,1,https://open.spotify.com/track/4yEBIww3wVoiT7A5v9kQj1,https://i.scdn.co/image/ab6761610000e5eb45e556a721580ac0bc7b45bb,https://i.scdn.co/image/ab67616d0000b2737c0291bb73b4552f914d0c33,29,medium_term
29,Digo Ou Não Digo,Digo Ou Não Digo,João Gomes,2022,"Digo Ou Não Digo
João Gomes
Digo Ou Não Digo
2022",arrocha,0.886,0.663,182000,1,https://open.spotify.com/track/0p5QJ6nbkeKlNmrXzG8mF0,https://i.scdn.co/image/ab6761610000e5eba049e2ddde0128bbdf16afc7,https://i.scdn.co/image/ab67616d0000b273413c4cf1815fa88b5643dac4,30,medium_term
30,Estar Com Você,Essa É a Nossa Música,Ponto De Equilíbrio,2016,"Estar Com Você
Ponto De Equilíbrio
Essa É a Nossa Música
2016",brazilian hip hop,0.716,0.678,232771,0,https://open.spotify.com/track/7vr4COpQ4Q8TnVDHBzdG8i,https://i.scdn.co/image/ab6761610000e5eb346cd74e3a12f49529384300,https://i.scdn.co/image/ab67616d0000b2739de411641dc37eac2bf6d191,31,medium_term
31,Viramundo,Louvação,Gilberto Gil,1967,"Viramundo
Gilberto Gil
Louvação
1967",bossa nova,0.961,0.706,139107,1,https://open.spotify.com/track/2EephBZC9PMxPr9ynHLQnQ,https://i.scdn.co/image/ab6761610000e5eb03b2a5ceda2ab12bfaa3b5ed,https://i.scdn.co/image/ab67616d0000b273c541f846ad3cc041b5ed1bf3,32,medium_term
32,enquanto recomeça,Roteiro pra Aïnouz (Vol. 2),Don L,2021,"enquanto recomeça
Don L
Roteiro pra Aïnouz (Vol. 2)
2021",brazilian hip hop,0.214,0.686,187504,0,https://open.spotify.com/track/0udrtBC4E19RBX33bdQPLo,https://i.scdn.co/image/ab6761610000e5ebfd2973d1223ebefb570f32f4,https://i.scdn.co/image/ab67616d0000b2730052784c6ce6f843c97fb724,33,medium_term
33,Que Tal um Samba?,Que Tal um Samba?,Chico Buarque,2022,"Que Tal um Samba?
Chico Buarque
Que Tal um Samba?
2022",bossa nova,0.593,0.774,218951,1,https://open.spotify.com/track/6XqbqeZl7YwPLcWsp8sLOk,https://i.scdn.co/image/ab6761610000e5eb3a4e279a12cc91aab8eef733,https://i.scdn.co/image/ab67616d0000b2730ea96ea28f00cbc9856c9eee,34,medium_term
34,Me and My Husband,Be the Cowboy,Mitski,2018,"Me and My Husband
Mitski
Be the Cowboy
2018",brooklyn indie,0.77,0.497,137142,1,https://open.spotify.com/track/3pANfZVFdtuVnJsE6xa5Ox,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,35,medium_term
35,Um Dia Te Levo Comigo / Efeitos / Romance - Ao Vivo,Raiz (Ao Vivo),Lauana Prado,2022,"Um Dia Te Levo Comigo / Efeitos / Romance - Ao Vivo
Lauana Prado
Raiz (Ao Vivo)
2022",sertanejo,0.497,0.706,275019,1,https://open.spotify.com/track/4Ef9evp0UgIRMvO1MgtBHK,https://i.scdn.co/image/ab6761610000e5eb9952674ecdb2f32781182faf,https://i.scdn.co/image/ab67616d0000b2731bbf55402ec03da1d721de82,36,medium_term
36,Estar Com Você - Ao Vivo,Juntos Somos Fortes (Ao Vivo),Ponto De Equilíbrio,2013,"Estar Com Você - Ao Vivo
Ponto De Equilíbrio
Juntos Somos Fortes (Ao Vivo)
2013",brazilian hip hop,0.672,0.81,257267,0,https://open.spotify.com/track/0CjxAXmWH4xvBD8lDoVYjE,https://i.scdn.co/image/ab6761610000e5eb346cd74e3a12f49529384300,https://i.scdn.co/image/ab67616d0000b2736a9593fc1e5a4485f9e99a9e,37,medium_term
37,Feriado Nacional - Ao Vivo,Acústico - Ao Vivo,Bruno & Marrone,2001,"Feriado Nacional - Ao Vivo
Bruno & Marrone
Acústico - Ao Vivo
2001",pagode,0.877,0.61,170667,1,https://open.spotify.com/track/6r82mJugUyDe1fI8waZDtZ,https://i.scdn.co/image/ab6761610000e5ebbb76e357a834654e45e76f1f,https://i.scdn.co/image/ab67616d0000b2739ce10bf887848831c83ec215,38,medium_term
38,Sendo Assim / Muito Estranho (Cuida Bem de Mim),"Decretos Reais, Vol.1",Marília Mendonça,2022,"Sendo Assim / Muito Estranho (Cuida Bem de Mim)
Marília Mendonça
Decretos Reais, Vol.1
2022",arrocha,0.733,0.667,311435,0,https://open.spotify.com/track/3vP4dkFp5iHDuKDdLOJJZb,https://i.scdn.co/image/ab6761610000e5eb178a83212c7e82d1389cb76a,https://i.scdn.co/image/ab67616d0000b27333aa5241a4a528c0d1265e66,39,medium_term
39,Still into You,Paramore,Paramore,2013,"Still into You
Paramore
Paramore
2013",candy pop,0.765,0.602,216013,1,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d,https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865,https://i.scdn.co/image/ab67616d0000b273532033d0d90736f661c13d35,40,medium_term
40,Ainda É Tempo Pra Ser Feliz,Mtv Ao Vivo Arlindo Cruz - Cd 1,Arlindo Cruz,2009,"Ainda É Tempo Pra Ser Feliz
Arlindo Cruz
Mtv Ao Vivo Arlindo Cruz - Cd 1
2009",pagode,0.519,0.481,267880,0,https://open.spotify.com/track/4x846NsuIJW6tSxXgL7EWc,https://i.scdn.co/image/ab6761610000e5eb181873f93056642d7b340839,https://i.scdn.co/image/ab67616d0000b273f55f6c2da30c091efe767926,41,medium_term
41,Dia Lindo,Violeta,Terno Rei,2019,"Dia Lindo
Terno Rei
Violeta
2019",brazilian rock,0.309,0.634,110347,1,https://open.spotify.com/track/0zG0LzLbVueZll4drMFPgz,https://i.scdn.co/image/ab6761610000e5eb5b50950f4987d00ae9a9215d,https://i.scdn.co/image/ab67616d0000b27342486337c11ac28cbd7e9ae3,42,medium_term
42,Bad Romance,The Fame Monster (Deluxe Edition),Lady Gaga,2009,"Bad Romance
Lady Gaga
The Fame Monster (Deluxe Edition)
2009",art pop,0.714,0.696,294573,1,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,43,medium_term
43,Leão,Zodíaco,Xamã,2020,"Leão
Xamã
Zodíaco
2020",brazilian hip hop,0.284,0.685,195692,1,https://open.spotify.com/track/2J1ypgIAzXp75ekOrTtYkC,https://i.scdn.co/image/ab6761610000e5eb65753eefaef7b319fd102bfb,https://i.scdn.co/image/ab67616d0000b2731ad875ebbdd67f6bb50514b5,44,medium_term
44,Deus Cuida de Mim,Deus Cuida de Mim,Caetano Veloso,2022,"Deus Cuida de Mim
Caetano Veloso
Deus Cuida de Mim
2022",bossa nova,0.42,0.67,224486,1,https://open.spotify.com/track/1oA2BvYw6lWg4MxM4ALmyG,https://i.scdn.co/image/ab6761610000e5ebe98de50f36cf1aa4bf047757,https://i.scdn.co/image/ab67616d0000b273ae0f9afe001a868d92c80786,45,medium_term
45,ESSÊNCIA DE CRIA,LITTLE HAIR,MC Cabelinho,2021,"ESSÊNCIA DE CRIA
MC Cabelinho
LITTLE HAIR
2021",funk carioca,0.766,0.631,192194,0,https://open.spotify.com/track/1iaPDgTbsKrlznVu13EWIf,https://i.scdn.co/image/ab6761610000e5eb90c81e9a4377d70b4da741e2,https://i.scdn.co/image/ab67616d0000b2734f90d64d24d84a45e823c76e,46,medium_term
46,Coisas Dentro das Coisas,Pausa,5 a Seco,2019,"Coisas Dentro das Coisas
5 a Seco
Pausa
2019",nova mpb,0.486,0.391,180947,0,https://open.spotify.com/track/3Bnvv3wAKD7qftV4uHA8GG,https://i.scdn.co/image/ab6761610000e5ebf67c8f80d23604eb1eaa4b96,https://i.scdn.co/image/ab67616d0000b27306946ccfedf0408d1d282c10,47,medium_term
47,Por um Minuto (Por un Minuto) - Ao Vivo,Acústico - Ao Vivo,Bruno & Marrone,2001,"Por um Minuto (Por un Minuto) - Ao Vivo
Bruno & Marrone
Acústico - Ao Vivo
2001",pagode,0.383,0.624,286733,1,https://open.spotify.com/track/2UDG7xlSeJ51V5PJpJGcup,https://i.scdn.co/image/ab6761610000e5ebbb76e357a834654e45e76f1f,https://i.scdn.co/image/ab67616d0000b2739ce10bf887848831c83ec215,48,medium_term
48,Nobody,Be the Cowboy,Mitski,2018,"Nobody
Mitski
Be the Cowboy
2018",brooklyn indie,0.487,0.398,193429,1,https://open.spotify.com/track/2P5yIMu2DNeMXTyOANKS6k,https://i.scdn.co/image/ab6761610000e5ebafb309e27fdb45e093958f9c,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,49,medium_term
49,A Maior Saudade - Ao Vivo,A Maior Saudade (Ao Vivo),Henrique & Juliano,2021,"A Maior Saudade - Ao Vivo
Henrique & Juliano
A Maior Saudade (Ao Vivo)
2021",arrocha,0.305,0.292,190162,1,https://open.spotify.com/track/5Q0ZnQjk4lQpScX7ujswun,https://i.scdn.co/image/ab6761610000e5eb3f3fa33960346d34155cc631,https://i.scdn.co/image/ab67616d0000b2735eccbd7a67763d28a70ae92c,50,medium_term
